Palabra,Descripción,Categoría,Sinónimos,Antónimos
AGREGAR,"Verbo pleno Unir unas cosas a otras, para que queden más.",v. tr.,"Agregar, añadir, incorporar, sumar.",
AGRIO,"Sabor ácido, como el del limón o del vinagre.",adj.,"Agrio, ácido, avinagrado.",
AGRUPAR,Verbo pleno Reunir en grupo personas o cosas.,v. tr.,"Agrupar, reunir, juntar, asociar, congregar.","Separar, alejar."
AGUA,"Sustancia líquida, inodora, insípida e incolora. Es el componente más abundante de la superficie terrestre, forma la lluvia, los ríos y los mares.",sust. m.,"Agua, líquido, fluido.",
ÁGUILA,"Ave rapaz diurna, con pico corvo en la punta, con una buena visión y rápido vuelo.",sust. f.,Águila.,
AGUJA,"Instrumento delgado y puntiagudo de metal, con un ojo por donde se pasa el hilo, y sirve para coser o bordar.",sust. f.,Aguja.,
AHOGAR,"Verbo pleno Quitar la vida a una persona o animal, impidiéndole la respiración, ya sea apretándole la garganta o sumergiéndolo en el agua.",v. tr.,"Ahogar, asfixiar.",
AHORRAR,Verbo pleno Guardar dinero o algún bien material como precaución para necesidades futuras.,v. tr.,"Ahorrar, guardar, economizar, reservar.","Gastar, consumir, derrochar."
AHUMADA,Nombre de una calle importante del Centro de Santiago de Chile.,sust. p.,Ahumada.,
AJEDREZ,"Juego con 32 piezas, 16 de un color y 16 de otro. Se juega entre dos personas sobre un tablero dividido en 64 casillas blancas y negras dispuestas alternadamente.",sust. m.,Ajedrez.,
AJÍ,Condimento de sabor picante.,sust. m.,Ají.,
AJO,Vegetal de olor y sabor muy fuertes que se usa para condimentar comidas.,sust. m.,Ajo.,
ALAMEDA,"Nombre con que se conoce la Avenida Libertador Bernardo O◻Higgins, arteria principal del centro de la ciudad de Santiago de Chile.",sust. p.,Alameda.,
ALARMA,Aparato de luz o de sonido que se usa como aviso frente a alguna situación de emergencia.,sust. f.,"Alarma, emergencia, aviso.",
ALBÓNDIGA,Comida preparada con carne molida en forma de bolas.,sust. f.,Albóndiga.,
ALCANTARILLA,Conducto subterráneo por donde circula el agua de lluvia o aguas inmundas.,sust. f.,"Alcantarilla, desagüe, colector, drenaje, alcantarillado.",
ALCOHOL,Líquido incoloro que se usa como antiséptico en heridas.,sust. m.,Alcohol.,
ALEGRÍA,"Sentimiento agradable, de placer que se demuestra con sonrisas, risas y animación general.",sust. f.,"Alegría, felicidad, alborozo, júbilo, regocijo.","Disgusto, tristeza, pena."
ALFOMBRA,"Tejido de lana o de otros materiales, de distintos tamaños, colores y dibujos que se usa para cubrir pisos o escaleras.",sust. f.,"Alfombra, tapiz, tapete.",
ALGODÓN,Material blanco y esponjoso que se usa para fabricar telas. También se usa para limpiar la piel o heridas.,sust. m.,Algodón.,
ALGUNO/A,Una persona o cosa indicada o señalada dentro de un conjunto de manera indefinida,pron.,Alguno.,Ninguno.
ALMEJA,Molusco marino con valvas. La carne de este marisco es comestible y muy apreciada.,sust. f.,Almeja.,
ALMOHADA,Cojín que sirve para reclinar la cabeza en la cama.,sust. f.,"Almohada, cojín, almohadón.",
ALMORZAR,Verbo pleno Comer al medio día o en las primeras horas de la tarde.,v. intr.,"Almorzar, comer, alimentar, nutrir.","Abstenerse, privarse."
ALMUERZO,Comida del medio día o primeras horas de la tarde.,sust. m.,"Almuerzo, alimento, comida.",
ALPACA,"Mamífero rumiante de América, muy apreciado por su pelo.",sust. m.,Alpaca.,
ALUMINIO,"Metal liviano y maleable, de color y brillo parecidos a la plata, que se usa generalmente para fabricar ollas o utensilios de cocina.",sust. m.,Aluminio.,
ALUMNO/A,"Estudiante que asiste a una escuela, colegio o universidad, para aprender.",sust. m. y f.,"Alumno, estudiante.",
AL-REVÉS,"Haberse entendido, haberse hecho o estar una cosa de manera contraria.",adv.,"Al revés, lado contrario, reversa.",
AMANTE,Que tiene relaciones amorosas no permitidas.,sust. m. y f.,"Amante, querido.",
AMAR,Verbo pleno Sentir amor por alguien o algo.,v. tr.,"Amar, desear, querer.","Odiar, detestar, aborrecer."
AMARGADO/A,Persona que demuestra resentimiento por frustraciones hacia algo o hacia otros.,adj.,"Amargado, resentido.",
AMARGO/A,"Sabor desagradable que tiene la hiel y otras sustancias, que es contrario al sabor dulce.",adj.,Amargo.,Dulce.
