Palabra,Descripción,Categoría,Sinónimos,Antónimos
COTONA,"Prenda gruesa que se pone sobre la ropa para protegerla, que se utiliza normalmente en la escuela.",sust. f.,Cotona.,
COYHAIQUE,Capital de la undécima región de Chile Aysén del General Carlos Ibañez del Campo.,sust. p.,Coyhaique.,
CRECER-PERSONA,Verbo espacial locativo Aumentar de estatura una persona.,v. intr.,"Crecer, desarrollarse, elevarse, formarse.","Disminuir, reducirse, decrecer."
CRECER-EMPRESA,"Verbo espacial locativo Aumentar en tamaño, capacidad o rendimiento productivo una empresa.",v. intr.,Crecer una empresa.,
CRÉDITO,Préstamo de dinero que se devuelve pagado en cuotas previamente convenidas.,sust. m.,"Crédito, préstamo.",
CREER,Verbo pleno Pensar que es cierto algo que no se entiende o no está comprobado.,v. tr.,"Creer, pensar, parecerle.",
CREMA,Sustancia cosmética que se utiliza para suavizar y cuidar el cutis.,sust. f.,"Crema, cosmético, pomada, unto.",
CRITICAR,Verbo de concordancia Censurar las acciones o conductas de alguien.,v. tr.,"Criticar, vituperar.",
CUADERNO,Libreta o conjunto de papeles en los que se puede anotar algo o escribir.,sust. m.,Cuaderno.,
CUADERNO-DE-COMPOSICIÓN,Cuaderno con líneas horizontales que en la escuela se utiliza para las actividades de castellano.,sust. m.,"Cuaderno de composición, cuaderno de castellano, cuaderno de líneas.",
CUADRO,Objeto que contiene una obra de arte o pintura que comúnmente se adosa a las paredes y que sirve de adorno.,sust. m.,"Cuadro, pintura, óleo, afiche, poster.",
CUÁL,"Como interrogación se usa para distinguir personas o cosas y para conocer una cualidad de una persona, animal o cosa.",interj.,"Cuál, cuáles.",
CUÁNDO, En sentido interrogativo equivale a preguntar en qué tiempo. ,interj.,"Cuándo, en qué momento.",
CUBRECAMA,Cubierta que se pone encima de las camas.,sust. m.,"Cubrecama, cobertor, colcha.",
CUCHARA,Utensilio de mesa que sirve para llevar a la boca las cosas líquidas o poco consistentes.,sust. f.,Cuchara.,
CUCHARÓN,"Utensilio de cocina formado por un mango y una cuchara grande, que sirve para repartir ciertos alimentos.",sust. m.,Cucharón.,
CUCHILLO,"Instrumento para cortar, formado por una hoja de metal y un mango.",sust. m.,"Cuchillo, navaja.",
CUECA,"Baile nacional típico de Chile. Se baila en pareja, en el que se representa el asedio amoroso de una mujer por un hombre. También es bailado en otros países de América del Sur.",sust. f.,Cueca.,
CUENTO,"Construcción oral, en señas o escrita, de un relato a partir de algo verdadero o inventado, donde usualmente hay personajes y una secuencia de acciones.",sust. m.,"Cuento, historia, historieta, relato, narración.",
CUERO,Pellejo que cubre la carne de los animales.,sust. m.,"Cuero, piel.",
CUIDAR,"Verbo pleno Poner atención y preocupación en la protección de una persona, animal o cosa.",v. tr.,"Cuidar, velar, vigilar, proteger, asistir.","Descuidar, desatender."
CULEBRA,"Reptil sin patas, de cuerpo cilíndrico y alargado, con la piel pintada con diversos colores y escamosa.",sust. f.,"Culebra, serpiente, víbora, reptil.",
CULPA,"Falta atribuida a alguien, por haber cometido algún delito.",sust. f.,Culpa.,
CULPABLE,Responsable de un delito.,adj.,Culpable.,Inocente.
CULTURA,"Conjunto de modos de vida y costumbres, conocimientos y grado de desarrollo artístico, científico, industrial, que se reflejan en una época o en un grupo social.",sust. f.,"Cultura, conocimiento, saber.",
CUMPLEAÑOS,Aniversario del nacimiento de una persona.,sust. m.,"Cumpleaños, aniversario, celebración, fiesta.",
CUMPLIR,"Verbo pleno Llevar a cabo algo, según su obligación o plazo.",v. tr.,"Cumplir, efectuar, desempeñar.",
CUNA,Cama pequeña para niños o bebés.,sust. f.,"Cuna, moisés, camita.",
CUÑADO/A,Hermano o hermana del marido respecto de la mujer y hermano o hermana respecto del marido.,sust. m. y f.,Cuñado o cuñada.,
CURICÓ,Capital provincial de la Séptima Región del Maule en Chile. Centro agrícola (cereales y vid) y comercial.,sust. p.,Curicó.,
CURIOSO/A,El que desea y busca saber alguna cosa.,adj.,"Curioso, busquilla, fisgón, copuchento.",
CHAL,Paño de lana o tela que se pone sobre los hombros y sirve para abrigarse.,sust. m.,"Chal, manta, chalón.",
CHALECO,"Prenda de vestir tejida, abotonada al frente.",sust. m.,Chaleco.,
CHALÓN,Manta de lana que se ocupa para abrigarse en la cama.,sust. m.,Chalón.,
CHAMPAÑA,"Vino blanco espumoso, originario de Francia.",sust. f.,Champaña.,
CHAMPÚ,Loción para lavarse el cabello.,sust. m.,Champú.,
CHANCHO,"Mamífero doméstico de cabeza grande, de hocico casi cilíndrico, cuerpo muy grueso. Se cría para aprovechar su carne y grasa.",sust. m.,"Chancho, cerdo, puerco.",
CHAO,Expresión que se utiliza para despedida.,interj.,"Chao, adiós, hasta luego",Hola.
CHAQUETA,"Prenda exterior de vestir, de tela, con mangas y abotonada al frente.",sust. f.,"Chaqueta, vestón.",
CHARQUICÁN,Guiso hecho con charqui y diferentes verduras.,sust. m.,Charquicán.,
CHATEAR,Verbo pleno Acción de interacción por medio de computadores usando el internet.,v. intr.,Chatear.,
CHEQUE,Documento escrito que se usa para pagar con fondos que se tienen en un banco.,sust. m.,Cheque.,
CHICHA,"Bebida alcohólica que se obtiene de la fermentación de la uva, la manzana o el maíz.",sust. f.,Chicha.,
CHICHARRÓN,"Residuo de la manteca derretida de los animales, especialmente del cerdo.",sust. m.,Chicharrón.,
CHICLE,Goma dulce de mascar.,sust. m.,Chicle.,
CHILE,"País ubicado en América del Sur, limita al norte con Perú y Bolivia, al este con Argentina y al oeste con el Océano Pacífico. Su capital es Santiago.",sust. p.,Chile.,
CHILENO/A,Persona natural de Chile. //2. Perteneciente a este país de América.,adj.,Chileno.,
CHILLÁN,Capital provincial de la Octava Región de Chile del Bío Bío. Ciudad comercial y agrícola. Centro de comunicación de la región.,sust. p.,Chillán,
CHILOÉ,"Isla grande del archipiélago de Chiloé. Está ubicada en la Región de los Lagos. Se encuentra rodeada de innumerables islas. Se caracteriza por sus Palafitos, casas en alto sobre la costa. Su capital es Castro.",sust. p.,Chiloé.,
CHINA,"La República Popular de China, es el tercer estado en extensión del mundo y la nación con más población de la Tierra. Está situada en el centro y este de Asia. Su capital es Beijing.",sust. p.,China.,
CHINCHE,"Insecto de color rojo oscuro. Es nocturno, fétido y chupa la sangre humana provocando picaduras irritantes.",sust. m. y f.,Chinche.,
CHINITA,"Insecto de color negro por debajo y rojo brillante por encima, con varios puntos negros en las alas. Se alimenta de pulgones por lo que es útil a la agricultura.",sust. f.,"Chinita, mariquita.",
CHIRIMOYA,"Fruta de cáscara verde y pulpa blanca, con pepas negras, aromática y de sabor muy agradable.",sust. f.,Chirimoya.,
CHISME,"Comentario verdadero o falso, con que se pretende indisponer a una persona con otras.",sust. m.,"Chisme, habladuría, pelambre, chismorreo.",
CHISTE,Dicho o historieta muy breve que contiene un juego verbal que hace reír.,sust. m.,"Chiste, broma.",
CHIVO,"Cría de la cabra, desde que no mama hasta que llega al año de edad.",sust. m.,"Chivo, cabro, cabrito.",
CHOCLO,"Alimento que se obtiene de la planta del maíz, de granos amarillos pegados a una coronta.",sust. m.,"Choclo, mazorca.",
CHOCOLATE,"Pasta hecha con cacao y azúcar molidos, a la que generalmente se le añade canela y vainilla.",sust. m.,"Chocolate, cacao.",
CHOFER,Persona que por oficio conduce un vehículo.,sust. m.,"Chofer, conductor.",
CHOLGA,Molusco marino de color negro azulado por fuera. Vive asido a las rocas por medio de filamentos. Es comestible.,sust. f.,"Cholga, cholgua.",
CHOQUE,Encuentro violento de dos cosas o personas.,sust. m.,"Choque, colisión, encontrón.",
CHORITO,"Molusco marino, bivalvo, de color negro azulado, más pequeño que la cholga. Vive asido a las rocas por medio de filamentos. Es comestible.",sust. m.,"Chorito, mejillón.",
CHORIZO,"Pedazo de tripa, relleno de carne picada y aliñada.",sust. m.,"Chorizo, embutido.",
CHULETA,"Costilla de carne de animal, especialmente del cerdo y del vacuno.",sust. f.,Chuleta.,
CHUPALLA,Sombrero de paja.,sust. f.,Chupalla.,
CHUPE-DE-JAIBA,"Guiso preparado con cebolla, pan y otros ingredientes, al que se le añade jaiba.",sust. m.,"Chupe, chupe de jaiba.",
CHURRASCO,Carne de vacuno asada a la plancha o a la parrilla.,sust. m.,"Churrasco, bistec.",
CHURRO,Masa frita cilíndrica que se sirve con azúcar.,sust. m.,Churro.,
CHUZO,"Barra de hierro puntiaguda, que se usa para picar la tierra.",sust. m.,Chuzo.,
DACTILOLÓGICO,Sistema alfabético manual que forma parte de las lenguas de señas.,sust. m.,Dactilológico.,
DADO,"Pieza cúbica, en cuyas caras hay puntos desde el uno al seis y sirve para varios juegos de azar.",sust. m.,"Dado, cubo.",
DAMAS,Juego para dos jugadores que se ejecuta en un tablero con 24 piezas.,sust. f.,Damas.,
DAMASCO,"Fruto pequeño, blando, dulce y aromático, con cuesco en su interior.",sust. m.,Damasco.,
DANZA,Serie de movimientos rítmicos y artísticos que hacen quienes bailan.,sust. f.,"Danza, baile.",
DAR,"Verbo de concordancia Entregar o transferir algo a alguien, o de una persona a otra.",v. tr.,"Dar, entregar, proporcionar, ceder.","Quitar, retirar."
DEBAJO,El lugar inferior respecto de otro superior.,adv.,"Debajo, abajo, bajo.","Sobre, encima."
DÉBIL,"De poco vigor, fuerza o resistencia.",adj.,"Débil, frágil, enclenque.","Fuerte, robusto, vigoroso, corpulento."
DECIDIR,Verbo pleno Tomar determinación de algo.,v. tr.,"Decidir, resolver, determinar.",
DECIDIDO/A,Persona que actúa con seguridad o determinación.,adj.,Decidido.,Indeciso.
DECIR,Verbo de concordancia Expresar con palabras o señas el pensamiento.,v. tr.,"Decir, manifestar, declarar, asegurar, mencionar.",Callar.
DEDAL,Utensilio pequeño hueco y cerrado para proteger el dedo al coser.,sust. m.,Dedal.,
DEFECAR,Verbo pleno Expeler los excrementos.,v. intr.,"Defecar, obrar, evacuar, mover el vientre.",Estreñir.
DEFECTO,Carencia o falta de las cualidades propias y naturales de una persona o cosa.,sust. m.,"Defecto, imperfección, falla.",Perfección.
DEFENDER/SE,"Verbo de concordancia Proteger a alguien o algo de una amenaza, o peligroso.",v. tr.,"Defender, resguardar, preservar, amparar, Defenderse, resguardarse, ampararse.","Atacar, embestir, acometer, arremeter."
DELANTAL-DE-COCINA,"Prenda que sobre el pecho y atada a la cintura, usan las personas para protegerse la ropa en la cocina.",sust. m.,"Delantal, pechera.",
DELFÍN,"Cetáceo de dos a tres metros de largo, de cabeza voluminosa, de hocico delgado, que es común en casi todos los mares.",sust. m.,Delfín.,
DELGADO/A,"Flaco, de pocas carnes.",adj.,"Delgado, fino, enjuto, flaco.","Obeso, gordo, corpulento."
DELINCUENTE,Persona que delinque o que comete delito.,adj.,"Delincuente, criminal, forajido, infractor.",
DELIRAR,Verbo pleno Tener perturbada la mente por una enfermedad o una pasión violenta.,v. intr.,"Delirar, disparatar, fantasear, alucinar, desvariar.",
DEMOCRACIA,Forma de organización política que favorece a las mayorías de los pueblos.,sust. f.,Democracia.,
DEMORA,Tardanza en el cumplimiento de una obligación.,sust. f.,"Demora, aplazamiento, retardo.",Adelanto.
DENTISTA,Profesional que se dedica al cuidado de la salud de los dientes de las personas.,sust. m.,"y f. Dentista, odontólogo.",
DENUNCIAR,Verbo pleno Avisar o declarar oficialmente algo ilegal.,v. tr.,"Denunciar, notificar, acusar, delatar.","Encubrir, ocultar."
DEPARTAMENTO,Cada una de las viviendas de un edificio.,sust. m.,Departamento.,
DEPENDE,Locución que se usa para expresar una condición de algo sobre otra cosa.,loc.,"Depende, en caso de.",
DEPILARSE,Verbo espacial locativo Arrancarse el pelo o vello que cubre la piel.,v. tr.,"Depilar, afeitar, rasurar.",
DEPORTE,Actividad física que se ejerce como juego o competición. Su práctica supone entrenamiento y seguir reglas.,sust. m.,"Deporte, recreación, pasatiempo, ejercicio físico.",
DEPOSITAR,"Verbo pleno Poner bienes o cosas de valor bajo custodia, normalmente en una institución bancaria.",v. tr.,"Depositar, ahorrar.","Gastar, girar."
DEPRIMIDO/A,Persona que sufre decaimiento del ánimo o depresión.,adj.,"Deprimido, decaído, triste, agobiado.","Animado, alegre."
DERECHO,Facultad para exigir lo que la ley o la autoridad establece en nuestro favor.,sust. m.,"Derecho, facultad, justicia, prerrogativa.",
DERMATÓLOGO/A,Médico especialista en las enfermedades de la piel.,sust. m. y f.,Dermatólogo.,
DERRETIRSE,Verbo pleno Disolver por medio del calor una cosa sólida.,v. intr.,"Derretirse, deshacerse, licuarse, disolverse.",
DESAFIAR,"Verbo de concordancia Competir con otro en cosas que requieren fuerza, agilidad o destreza.",v. tr.,"Desafiar, retar, provocar.",
DESAPARECER,Verbo pleno Quitar de la vista con rapidez algo.,v. intr.,"Desaparecer, esfumarse, disiparse.","Aparecer, manifestarse."
DESARROLLO,"El incremento que se da a una cosa de orden físico, intelectual o moral.",sust. m.,"Desarrollo, progreso, auge, aumento, crecimiento.","Disminución, retroceso."
DESAYUNO,"Alimento ligero que se toma por la mañana, antes que ningún otro.",sust. m.,Desayuno.,
DESCANSAR,"Verbo pleno Cesar en el trabajo, reparar las fuerzas con quietud.",v. intr.,"Descansar, reposar, sosegar, aliviar.",
DESCUBRIR,Verbo pleno Hallar lo que estaba ignorado o escondido.,v. tr.,"Descubrir, hallar, encontrar.","Ocultar, esconder."
DESEAR,Verbo pleno Aspirar con vehemencia obtener algo.,v. tr.,"Desear, anhelar, ambicionar, ansiar, apetecer.",
DESESPERADO/A,Persona que sufre alteración extrema del ánimo.,adj.,"Desesperado, abatido, agobiado.","Tranquilo, sereno, calmado."
DESFILE,Conjunto de personas que marchan en fila.,sust. m.,"Desfile, parada, marcha.",
DESIERTO,"Territorio arenoso o pedregoso, que por falta de lluvias, es muy seco y tiene poca vegetación.",sust. m.,"Desierto, yermo, estéril, árido.","Oasis, vergel."
DESMAYARSE,Verbo espacial locativo Perder el sentido y el conocimiento.,v. intr.,"Desmayarse, desfallecer.",
DESINFECTANTE,"Sustancia química que se usa para quitar la infección, destruyendo los gérmenes nocivos.",sust. m.,"Desinfectante, antiséptico, esterilizante.",
DESOBEDECER,Verbo pleno No hacer lo que le ordenan a alguien las leyes o los que tienen autoridad.,v. tr.,"Desobedecer, transgredir, infringir, quebrantar, incumplir.","Obedecer, acatar, cumplir."
DESODORANTE-AMBIENTAL,Aromatizador que destruye los olores molestos o nocivos.,sust. m.,"Desodorante ambiental, aromatizador.",
DESODORANTE-CORPORAL,Producto que se utiliza para eliminar el olor corporal molesto o nocivo.,sust. m.,Desodorante.,
DESORDEN,Confusión y alteración del orden.,sust. m.,"Desorden, desarreglo, caos, desorganización.","Orden, arreglo, organización."
DESORDENADO/A,Que no tiene orden. // 2. Persona que no cuida del orden en sus cosas.,adj.,"Desordenado, desarreglado, confuso.","Ordenado, arreglado."
DESPEDIDA,Alguna expresión de afecto o cortesía cuando una persona se separa de otros.,sust. f.,"Despedida, decir adiós.",Recepción.
DESPEDIR-DEL-TRABAJO,"Verbo pleno Alejar a una persona de su trabajo, prescindiendo de sus servicios.",v. tr.,"Despedir, echar, destituir, exonerar.","Aceptar, acoger."
DESPERTADOR,"Reloj que, a la hora en que previamente se le dispuso, hace sonar una campanilla o timbre, o enciende una luz o vibra, para despertar al que duerme.",sust. m.,"Despertador, reloj.",
DESPERTAR/SE,"Verbo pleno Dejar de dormir, interrumpir el sueño.",v. tr.,"Despertar, desvelar.",Adormecer.
DESPUÉS,"Que denota posterioridad de tiempo, lugar o situación.",adv.,"Después, luego, enseguida, seguidamente.","Antes, anterior, anteriormente, antelación."
DESTACADO/A,Persona o cosa que resalta o sobresale por sus méritos o cualidades.,adj.,"Destacado, resaltado, notorio.",
DESTORNILLADOR,Herramienta de metal que sirve para destornillar y atornillar.,sust. m.,Destornillador.,
DETECTIVE,Policía que practica investigaciones reservadas cuando se sospecha de un delito.,sust. m.,"Detective, policía.",
DEUDA,"Obligación que se tiene de pagar, satisfacer o reintegrar a otro una cosa o dinero.",sust. f.,"Deuda, obligación, compromiso.",
DÍA,Tiempo que dura 24 horas. //2. Tiempo que dura la claridad del sol sobre el horizonte.,sust. m.,Día.,Noche.
DÍA-DE,"Expresión que se ocupa para designar algún día especial, por ejemplo, el día del sordo.",,,
DIABETES,"Enfermedad causada por un desorden de nutrición, relacionado con el azúcar. Suele producir enflaquecimiento, sed intensa y otros trastornos generales.",sust. f.,Diabetes.,
DIABLO,"Nombre general de los ángeles arrojados al abismo y de cada uno de ellos, según la Biblia.",sust. m.,"Diablo, Satanás, Lucifer.",
DIAGNÓSTICO,Determinación de la naturaleza de una enfermedad mediante la observación de sus síntomas y signos.,sust. m.,Diagnóstico.,
DIAMANTE,"Piedra preciosa, formada de carbono cristalizado, diáfana, de gran brillo y suma dureza.",sust. m.,"Diamante, gema, joya.",
DIARIO,"Impreso que se publica periódicamente, se utiliza como medio de difusión, principalmente de noticias y de diversos acontecimientos.",sust. m.,"Diario, periódico, publicación.",
DIARREA,Síntoma que consiste en evacuaciones de vientre líquidas y frecuentes.,sust. f.,"Diarrea, colitis.",
DIBUJAR,Verbo espacial locativo Delinear en una superficie y sombrear la figura de un cuerpo.,v. tr.,"Dibujar, delinear, bosquejar.",
DICCIONARIO,"Libro en el que se recogen y explican en forma ordenada voces o palabras de una o más lenguas, de una ciencia o materia determinada.",sust. m.,Diccionario.,
DICIEMBRE,Décimo mes del año. Tiene treinta y un días.,sust. m.,Diciembre.,
DICTADOR/A,El que se arroga o recibe todos los poderes políticos extraordinarios y los ejerce sin limitación jurídica.,sust. m. y f.,"Dictador, totalitario, tirano.",
DICTAR,"Verbo de concordancia Decir a alguien algo, con las pausas necesarias para que otro lo vaya escribiendo.",v. tr.,Dictar.,
DIETA,Régimen de alimentación que hacen personas enfermas o quienes quieren bajar de peso.,sust. f.,"Dieta, régimen, privación.",
DIFERENTE,Algo o alguien que se distingue por ser diverso o distinto.,adj.,"Diferente, distinto, diverso, desigual.","Igual, similar, idéntico."
DIFÍCIL,"Que se logra, ejecuta o entiende con mucho trabajo.",adj.,"Difícil, arduo, dificultoso, complicado.","Fácil, sencillo, simple."
DIFUNDIR,"Verbo pleno Divulgar, propagar conocimientos, noticias, actitudes, costumbres, modas, etc.",v. tr.,"Difundir, divulgar, publicar, expandir, extender.",
DINERO,Moneda corriente.,sust. m.,"Dinero, plata, efectivo.",
DINOSAURIO,"Animal reptil fósil muy grande, con cabeza pequeña, cuello largo y cola robusta. Vivieron en los períodos jurásico y cretáceo.",sust. m.,Dinosaurio.,
DIOS,Ser superior creador del universo. Cualquiera de las deidades que dan o han dado culto las diversas religiones.,sust. m.,"Dios, Creador, Padre, Señor, Todopoderoso, Altísimo.",
DIPLOMA,"Título o credencial que da una corporación, una facultad, una sociedad científica, entre otros, para acreditar un grado académico, un premio, etc.",sust. m.,"Diploma, certificado, título.",
DIPLOMÁTICO/A,Persona que interviene en las negociaciones de Estado que se tratan entre dos o más naciones.,sust. m. y f.,Diplomático.,
DIPUTADO/A,"Persona nombrada por elección popular como representante en una cámara legislativa nacional, regional o provincial.",sust. m. y f.,"Diputado, congresista, parlamentario.",
DIRECTIVA,Grupo de personas que dirigen o gobiernan una institución.,sust. f.,"Directiva, directorio.",
DIRECTOR/A,Persona a cuyo cargo está la dirección de un negocio o establecimiento.,sust. m. y f.,"Director, jefe, presidente.",
DISCAPACITADO/A,"Persona incapacitada, por lesión congénita o adquirida, para ciertos trabajos, movimientos, deportes, etc.",adj.,"Discapacitado, minusválido.",
DISCULPA,Solicitud de perdón por una culpa o falta (Seña de uso coloquial o familiar).,sust. f.,"Disculpa, excusa.",
DISCUTIR,Verbo pleno Alegar razones contra el parecer de otro.,v. tr.,"Discutir, alegar.",
DISFRAZAR,"Verbo pleno Modificar la forma natural de las personas, utilizando artificios que se usan en fiestas y carnavales.",v. intr.,Disfrazar.,
DISIMULAR,"Verbo pleno Encubrir algo que se siente o padece, como el miedo, la pena, la pobreza, el frío, etc.",v. tr.,"Disimular, ocultar, fingir, encubrir.",
DISTRAÍDO/A,Persona que habla o actúa sin darse cuenta de sus palabras o de lo que pasa a su alrededor.,adj.,"Distraído, desatento.",Atento.
DIVERTIDO/A,"Alegre, festivo y de buen humor.",adj.,"Divertido, alegre, cómico, ameno, entretenido, gracioso, animado.","Fome, aburrido."
DIVIDIR,"Verbo pleno Determinar cuantas veces una cantidad, está contenida en otra.",v. tr.,"Dividir, fraccionar, seccionar.",
DIVORCIO,Separación legal de dos casados.,sust. m.,"Divorcio, rruptura.",Casamiento.
DOCUMENTO,Escrito en que constan hechos fidedignos que se pueden ocupar para probar algo.,sust. m.,"Documento, escrito, registro, expediente.",
DÓLAR,"Unidad monetaria de los Estados Unidos, Canadá, Australia, Nueva Zelanda y otros países del mundo.",sust. m.,Dólar.,
DOLOR,Sensación molesta y aflictiva de una parte del cuerpo.,sust. m.,"Dolor, padecimiento, malestar.",
DOLOR-DE-ESTÓMAGO,Sensación molesta y aflictiva en el estómago por causas externa o interna.,sust. m.,Dolor de estómago.,
DOMICILIO,Lugar donde habita una persona.//2. Lugar en que legalmente se ubica una institución.,sust. m.,"Domicilio, dirección.",
DÓNDE,"Equivale a en qué lugar, el lugar en que, o a qué lugar.",interj.,"Dónde, adónde.",
DOMINGO,Séptimo día de la semana.,interj.,Domingo,
DORADO,De color de oro o semejante a él.,adj.,Dorado.,
DORMIR,Verbo pleno Estar en el reposo que consiste en la inacción o suspensión de los sentidos y de todo movimiento voluntario.,v. intr.,"Dormir, adormecerse, dormitar, pernoctar.","Velar, desvelarse, despertarse."
DORMITORIO,Lugar de la casa destinado para dormir.,sust. m.,"Dormitorio, alcoba, cuarto.",
DOS-PUNTOS,Signo ortográfico que generalmente indica que se iniciará una enumeración de cosas.,sust. m.,Dos puntos.,
DUDA,"Suspensión o indeterminación del ánimo entre dos juicios o dos decisiones, o bien acerca de un hecho o noticia.",sust. f.,"Duda, vacilación, indecisión, titubeo, incertidumbre.","Seguridad, certeza."
DUELO,Demostraciones que se hacen para manifestar el sentimiento que se tiene por la muerte de alguien.,sust. m.,"Duelo, pesar, aflicción, tristeza.",
DUEÑO/A,El que tiene dominio sobre una persona o cosa.,sust. m. y f.,"Dueño, amo, propietario, patrón.",
DULCE,Sabor característico de alimentos preparados con azúcar.,adj.,Dulce.,"Salado, amargo."
DURAZNO,Fruto del árbol del melocotón.,sust. m.,Durazno.,
DURO/A,"Cuerpo que resiste a ser labrado, rayado, comprimido o desfigurado, que no se presta a recibir nueva forma o lo dificulta mucho.",adj.,"Duro, firme, consistente, sólido, pétreo.","Blando, mullido."
EBRIO/A,Persona que bebe en exceso una bebida alcohólica y se embriaga.,adj.,"Ebrio, curado, borracho.",
ECHAR-BENCINA,Verbo espacial locativo Vaciar combustible en el estanque de un vehículo o algún recipiente.,v. tr.,Echar bencina.,
ECHAR-DE-MENOS,Verbo pleno Tener pena por la falta de una persona o cosa.,loc.,Echar de menos,
ECOGRAFÍA,"Técnica médica de exploración del interior del cuerpo mediante ondas, con las que se obtienen imágenes.",sust. f.,Ecografía.,
ECUADOR,"País ubicado al noroeste de América del Sur. Limita con Colombia, Perú y el Océano Pacífico. Su capital es San Francisco de Quito.",sust. p.,Ecuador.,
ECUADOR,"Círculo máximo que se considera en la esfera de la Tierra, que es perpendicular a su eje",sust. p.,"Ecuador, línea del Ecuador.",
ECONOMÍA,Administración de bienes.,sust. f.,Economía.,
EDAD,"Tiempo que ha vivido una persona, ciertos animales o vegetales.",sust. f.,"Edad, años, tiempo.",
EDIFICIO,"Obra construida, de más de dos pisos, para habitar o para otros usos como oficinas, teatro, cine, etc.",sust. m.,"Edificio, inmueble, vivienda, torre.",
EDUCACIÓN,Enseñanza por medio de la acción docente que se da en centros educativos.,sust. f.,"Educación, enseñanza, instrucción, formación.",
EDUCACIÓN-DIFERENCIAL,Sistema de educación que atiende a personas que presentan necesidades educativas especiales.,sust. p.,"Educación Diferencial, Educación Especial.",
EDUCADO/A,"Que tiene buena educación, urbanidad o buena conducta.",adj.,"Educado, correcto.","Grosero, descortés, irrespetuoso, insolente."
EFECTIVO,Moneda acuñada o dinero en billetes.,sust. m.,"Efectivo, dinero.",
EGIPTO,"País ubicado al noreste de África, el más poblado del mundo árabe. Su capital es El Cairo.",sust. p.,Egipto.,
EGOÍSTA,"Persona que tiene excesivo amor hacia sí misma, que no le importan los intereses y las necesidades de los demás.",adj.,"Egoísta, individualista, personalista.",Generoso.
EJEMPLO,Caso o hecho conocido que se propone para dar una explicación.,sust. m.,Ejemplo.,
EJERCICIO,Actividad corporal que se realiza de manera repetida con finalidad recreativa o para conservar la salud.,sust. m.,"Ejercicio, entrenamiento, adiestramiento.",
ELÁSTICO,Cinta que por su tejido puede estirarse y recobrar su extensión una vez que se suelta.,sust. m.,Elástico.,
ELECTRICIDAD,Agente natural muy poderoso que se manifiesta por atracciones y repulsiones. La corriente eléctrica consiste en el movimiento de estas partículas cargadas. Se denominan iones.,sust. f.,"Electricidad, corriente eléctrica.",
ELEFANTE,"Mamífero herbívoro, el de mayor tamaño de los animales terrestres. Tiene el cuerpo de color gris oscuro. La nariz y los labios superiores unidos y muy prolongados en forma de trompa, la que extiende y recoge, y le sirve como mano. Tiene colmillos. Vive en Asia y África.",sust. m.,Elefante.,
ELEGANTE,Que tiene gusto y discreción para elegir y llevar su indumentaria o vestidos.,adj.,"Elegante, distinguido, refinado, fino.","Cursi, chabacano, vulgar."
ELEGIR,"Verbo pleno Preferir a una persona o cosa, entre varias, para un fin determinado.",v. tr.,"Elegir, escoger, optar, preferir.",
EMBAJADA,"Residencia del embajador, que representa en el extranjero, al Estado de un país.",sust. f.,"Embajada, consulado.",
EMBARAZO,Estado de la mujer que espera ser madre. Proceso de gestación que dura nueve meses.,sust. m.,"Embarazo, preñez, gestación, maternidad.",
EMOCIÓN,"Estado de ánimo producido por impresiones de los sentidos, ideas o recuerdos que con frecuencia se traduce en gestos, actitudes u otras formas de expresión.",sust. f.,Emoción.,
EMPANADA,"Masa de harina que se rellena con pino de carne, cebolla y aliños. También, pueden ser con queso, mariscos, o algo dulce. Puede cocinarse al horno o frita.",sust. f.,Empanada.,
EMPATE,Obtener en un juego o una elección el mismo número de puntos o votos entre dos o más contrincantes.,sust. m.,Empate.,
EMPEZAR,"Verbo pleno Comenzar, dar principio a una cosa.",v. tr.,"Empezar, iniciar, comenzar, principiar.","Terminar, concluir, finiquitar, ultimar."
EMPLEADO/A,Persona que por un sueldo desempeña los trabajos domésticos o ayuda en ellos.,sust. m.,"y f. Empleada, mozo, asesora del hogar.",
EMPRESA,"Sociedad mercantil o industrial fundada para llevar a cabo construcciones, negocios o proyectos de importancia.",sust. f.,"Empresa, sociedad, firma, industria.",
ENAMORADO/A,Que siente amor por alguien.,adj.,"Enamorado, conquistado, flechado.",
ENAMORADOS,"Dos personas que, entre sí, sienten amor mutuo.",adj.,"Enamorados, prendados.",
ENCARGAR,Verbo pleno Encomendar a alguien alguna cosa o persona para su cuidado.,v. tr.,"Encargar, confiar, delegar.",
ENANO/A,Persona muy pequeña.,sust. m. y f.,"Enano, pequeño, diminuto.",Gigante.
ENCHUFE,"Aparato que consta de dos piezas que se encajan una en la otra, para establecer una conexión eléctrica.",sust. m.,Enchufe.,
ENCICLOPEDIA,Conjunto de textos sobre diferentes ciencias o artes.,sust. f.,"Enciclopedia, manual.",
ENCONTRAR,Verbo pleno Dar con una persona o cosa que se busca.,v. tr.,"Encontrar, hallar.",Perder.
ENCONTRARSE,Verbo espacial locativo Dos personas que coinciden en un mismo tiempo y lugar.,v. intr.,"Encontrarse, juntarse.","Separarse, alejarse."
ENDEMONIADO/A,Poseído por el demonio.,adj.,"Endemoniado, endiablado.",
ENEMIGO/A,Que tiene mala voluntad a otro y le desea o hace daño.,adj.,Enemigo.,Amigo.
